current_state,action,next_state,count,total_from_state_action,transition_probability
"d=structured,b=none,r=false,c=EU_only,k=evidence,m=optimal,mt=M1",a_accept,"d=structured,b=none,r=false,c=EU_only,k=final,m=optimal,mt=M1",6737,6737,1.0
"d=structured,b=none,r=high-risk,c=EU_only,k=evidence,m=optimal,mt=M1",a_eval,"d=structured,b=none,r=high-risk,c=EU_only,k=evidence,m=optimal,mt=M1",6659,17521,0.3801
"d=structured,b=none,r=false,c=EU_only,k=evidence,m=optimal,mt=M1",a_mitig,"d=structured,b=none,r=false,c=EU_only,k=evidence,m=optimal,mt=M1",6577,6577,1.0
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=evidence,m=suboptimal,mt=M3",a_reject,"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",5428,7615,0.7128
"d=structured,b=none,r=high-risk,c=EU_only,k=evidence,m=optimal,mt=M1",a_accept,"d=structured,b=none,r=false,c=EU_only,k=final,m=optimal,mt=M1",3593,3593,1.0
"d=structured,b=none,r=false,c=EU_only,k=evidence,m=optimal,mt=M1",a_eval,"d=structured,b=none,r=false,c=EU_only,k=evidence,m=optimal,mt=M1",3293,7629,0.4316
"d=structured,b=none,r=false,c=EU_only,k=evidence,m=optimal,mt=M1",a_eval,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",3260,7629,0.4273
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",a_mitig,"d=structured,b=none,r=high-risk,c=EU_only,k=evidence,m=optimal,mt=M1",3141,9346,0.3361
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",a_mitig,"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=evidence,m=suboptimal,mt=M3",3135,9346,0.3354
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",a_accept,"d=structured,b=none,r=false,c=EU_only,k=final,m=optimal,mt=M1",3090,3090,1.0
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",a_mitig,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",3070,9346,0.3285
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=start,m=suboptimal,mt=M3",a_reject,"d=structured,b=none,r=false,c=EU_only,k=final,m=optimal,mt=M1",3003,11047,0.2718
"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=evidence,m=insufficient,mt=M4",a_reject,"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",2873,3852,0.7458
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=proposed,m=suboptimal,mt=M2",a_reject,"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",2350,3340,0.7036
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=evidence,m=suboptimal,mt=M3",a_reject,"d=structured,b=none,r=false,c=EU_only,k=final,m=optimal,mt=M1",2187,7615,0.2872
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",a_reject,"d=structured,b=none,r=false,c=EU_only,k=final,m=optimal,mt=M1",2070,9659,0.2143
"d=structured,b=none,r=high-risk,c=EU_only,k=evidence,m=optimal,mt=M1",a_eval,"d=structured,b=none,r=high-risk,c=EU_only,k=proposed,m=optimal,mt=M1",2059,17521,0.1175
"d=structured,b=none,r=high-risk,c=EU_only,k=evidence,m=optimal,mt=M1",a_eval,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=proposed,m=suboptimal,mt=M2",2011,17521,0.1148
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",a_eval,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",1762,5116,0.3444
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",a_eval,"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=evidence,m=insufficient,mt=M4",1699,5116,0.3321
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",a_eval,"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=evidence,m=suboptimal,mt=M3",1655,5116,0.3235
