d,b,r,c,k,m,m_metrics,initial_identified_model,actions_sequence,total_steps,final_state,total_reward
unstructured_text,remote_id,high-risk,non_compliant,start,insufficient,"[0.166, 0.815, 0.866, 0.933]",M3,a_eval -> a_eval -> a_eval -> a_eval -> a_accept,5,Accept_M2,7.0
unstructured_text,none,false,inadequate_SCC,start,suboptimal,"[0.07, 0.807, 0.882, 0.914]",M3,a_accept,1,Accept_M3,-38.0
unstructured_text,none,false,adequacy,start,insufficient,"[0.088, 0.929, 0.717, 0.874]",M1,a_accept,1,Accept_M1,53.0
multimodal,remote_id,high-risk,inadequate_SCC,start,suboptimal,"[0.061, 0.869, 0.893, 0.937]",M3,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_accept,11,Accept_M2,-11.0
unstructured_text,verification,high-risk,adequacy,start,insufficient,"[0.141, 0.842, 0.713, 0.844]",M2,a_accept,1,Accept_M2,19.0
unstructured_text,remote_id,high-risk,EU_only,start,insufficient,"[0.012, 0.745, 0.961, 0.904]",M2,a_accept,1,Accept_M2,19.0
unstructured_text,categorisation,false,adequacy,start,insufficient,"[0.2, 0.832, 0.954, 0.786]",M4,a_accept,1,Reject,70.0
unstructured_text,none,false,non_compliant,start,insufficient,"[0.035, 0.709, 0.881, 0.979]",M3,a_eval -> a_accept,2,Reject,67.0
structured,remote_id,high-risk,inadequate_SCC,start,suboptimal,"[0.077, 0.887, 0.936, 0.827]",M3,a_accept,1,Accept_M3,-38.0
structured,remote_id,high-risk,EU_only,start,insufficient,"[0.131, 0.92, 0.75, 0.809]",M2,a_accept,1,Accept_M2,19.0
multimodal,none,false,inadequate_SCC,start,insufficient,"[0.068, 0.717, 0.78, 0.97]",M3,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_accept,6,Accept_M2,4.0
image,remote_id,high-risk,inadequate_SCC,start,suboptimal,"[0.102, 0.891, 0.985, 0.839]",M3,a_accept,1,Accept_M3,-38.0
image,categorisation,false,EU_only,start,insufficient,"[0.034, 0.857, 0.731, 0.737]",M4,a_accept,1,Reject,70.0
multimodal,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.085, 0.885, 0.831, 0.722]",M3,a_eval -> a_eval -> a_accept,3,Reject,64.0
multimodal,verification,high-risk,adequacy,start,insufficient,"[0.121, 0.838, 0.759, 0.73]",M2,a_accept,1,Accept_M2,19.0
structured,none,false,non_compliant,start,insufficient,"[0.18, 0.724, 0.894, 0.703]",M3,a_eval -> a_accept,2,Accept_M2,16.0
image,none,false,inadequate_SCC,start,insufficient,"[0.157, 0.839, 0.889, 0.822]",M3,a_accept,1,Accept_M3,-38.0
unstructured_text,categorisation,false,non_compliant,start,insufficient,"[0.017, 0.859, 0.783, 0.754]",M4,a_next -> a_accept,2,Reject,65.0
structured,none,false,adequacy,start,insufficient,"[0.179, 0.713, 0.955, 0.93]",M1,a_accept,1,Accept_M1,53.0
unstructured_text,verification,high-risk,EU_only,start,insufficient,"[0.084, 0.939, 0.959, 0.733]",M2,a_accept,1,Accept_M2,19.0
image,remote_id,high-risk,EU_only,start,insufficient,"[0.132, 0.979, 0.71, 0.883]",M2,a_accept,1,Accept_M2,19.0
unstructured_text,none,false,inadequate_SCC,start,suboptimal,"[0.143, 0.942, 0.885, 0.875]",M3,a_accept,1,Accept_M3,-38.0
unstructured_text,none,false,adequacy,start,insufficient,"[0.098, 0.875, 0.934, 0.755]",M1,a_accept,1,Accept_M1,53.0
multimodal,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.125, 0.968, 0.958, 0.726]",M3,a_eval -> a_accept,2,Reject,67.0
unstructured_text,none,false,non_compliant,start,suboptimal,"[0.105, 0.934, 0.898, 0.807]",M3,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_accept,6,Reject,55.0
unstructured_text,verification,high-risk,non_compliant,start,insufficient,"[0.186, 0.926, 0.944, 0.926]",M3,a_eval -> a_eval -> a_eval -> a_eval -> a_accept,5,Reject,58.0
multimodal,none,false,inadequate_SCC,start,insufficient,"[0.018, 0.949, 0.714, 0.707]",M3,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_accept,6,Reject,55.0
structured,none,false,inadequate_SCC,start,insufficient,"[0.172, 0.927, 0.949, 0.723]",M3,a_accept,1,Accept_M3,-38.0
image,remote_id,high-risk,EU_only,start,insufficient,"[0.167, 0.943, 0.749, 0.92]",M2,a_accept,1,Accept_M2,19.0
unstructured_text,categorisation,false,inadequate_SCC,start,insufficient,"[0.019, 0.729, 0.824, 0.984]",M4,a_next -> a_accept,2,Reject,65.0
image,remote_id,high-risk,EU_only,start,insufficient,"[0.186, 0.757, 0.836, 0.845]",M2,a_accept,1,Accept_M2,19.0
multimodal,remote_id,high-risk,adequacy,start,insufficient,"[0.092, 0.767, 0.913, 0.92]",M2,a_accept,1,Accept_M2,19.0
unstructured_text,categorisation,false,non_compliant,start,insufficient,"[0.112, 0.714, 0.971, 0.803]",M4,a_next -> a_accept,2,Reject,65.0
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.154, 0.741, 0.911, 0.728]",M3,a_accept,1,Accept_M3,-38.0
image,remote_id,high-risk,EU_only,start,suboptimal,"[0.143, 0.889, 0.981, 0.869]",M2,a_accept,1,Accept_M2,19.0
structured,remote_id,high-risk,adequacy,start,insufficient,"[0.025, 0.955, 0.936, 0.736]",M2,a_accept,1,Accept_M2,19.0
structured,categorisation,false,adequacy,start,insufficient,"[0.133, 0.753, 0.977, 0.878]",M4,a_accept,1,Reject,70.0
multimodal,remote_id,high-risk,adequacy,start,insufficient,"[0.097, 0.865, 0.731, 0.761]",M2,a_accept,1,Accept_M2,19.0
multimodal,none,false,EU_only,start,insufficient,"[0.114, 0.791, 0.927, 0.932]",M2,a_accept,1,Accept_M2,19.0
unstructured_text,none,false,inadequate_SCC,start,insufficient,"[0.139, 0.809, 0.831, 0.711]",M3,a_accept,1,Accept_M3,-38.0
image,none,false,adequacy,start,insufficient,"[0.013, 0.794, 0.796, 0.798]",M1,a_accept,1,Accept_M1,53.0
structured,remote_id,high-risk,EU_only,start,insufficient,"[0.139, 0.712, 0.962, 0.928]",M2,a_accept,1,Accept_M2,19.0
multimodal,none,false,adequacy,start,insufficient,"[0.172, 0.951, 0.753, 0.907]",M2,a_accept,1,Accept_M2,19.0
unstructured_text,remote_id,high-risk,non_compliant,start,insufficient,"[0.145, 0.875, 0.918, 0.751]",M3,a_eval -> a_accept,2,Accept_M2,16.0
image,none,false,non_compliant,start,insufficient,"[0.148, 0.776, 0.899, 0.886]",M3,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_accept,8,Accept_M2,-2.0
multimodal,categorisation,false,EU_only,start,insufficient,"[0.089, 0.824, 0.973, 0.72]",M4,a_accept,1,Reject,70.0
image,verification,high-risk,non_compliant,start,insufficient,"[0.112, 0.786, 0.752, 0.901]",M3,a_eval -> a_eval -> a_eval -> a_eval -> a_accept,5,Accept_M2,7.0
multimodal,none,false,non_compliant,start,suboptimal,"[0.11, 0.89, 0.859, 0.966]",M3,a_eval -> a_accept,2,Accept_M2,16.0
unstructured_text,remote_id,high-risk,EU_only,start,insufficient,"[0.025, 0.753, 0.96, 0.857]",M2,a_accept,1,Accept_M2,19.0
